country,big mac index
Switzerland,$6.71
Norway,$6.26
Uruguay,$6.08
Sweden,$5.59
Canada,$5.25
United States,$5.15
Lebanon,$5.08
Israel,$4.95
United Arab Emirates,$4.90
Australia,$4.63
Argentina,$4.57
Saudi Arabia,$4.53
New Zealand,$4.43
Brazil,$4.25
Singapore,$4.24
Bahrain,$4.24
Kuwait,$4.23
Czech Republic,$3.97
Costa Rica,$3.91
Nicaragua,$3.87
Sri Lanka,$3.72
Oman,$3.69
Croatia,$3.68
Chile,$3.66
Honduras,$3.62
Poland,$3.59
Peru,$3.57
Qatar,$3.57
China,$3.56
Thailand,$3.50
South Korea,$3.50
Colombia,$3.48
Mexico,$3.43
Guatemala,$3.36
Jordan,$3.24
Pakistan,$3.16
Moldova,$3.11
Vietnam,$2.95
Japan,$2.83
Azerbaijan,$2.77
Philippines,$2.75
Turkey,$2.68
Hong Kong,$2.68
Hungary,$2.65
Taiwan,$2.51
Malaysia,$2.45
Egypt,$2.43
India,$2.39
Indonesia,$2.34
South Africa,$2.34
Romania,$2.28
Venezuela,$1.76
