Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,18,3.67305,4.900559481,3.225806452,58410.2403,-12.176,-15.819,-9.099,54.727,40.03,-7.647,-20.028,-11.621,53.276,24.271
Argentina,ARG,ARS,1650,275.275,5.994005994,295.6989247,6036.83951,7.419,2.964,11.184,89.251,71.274,32.984,15.156,27.262,120.711,78.945
Australia,AUS,AUD,7.45,1.484009794,5.0201825,1.335125448,70621.26644,-10.033,-13.764,-6.88,58.504,43.448,-8.601,-20.854,-12.534,51.692,22.987
Azerbaijan,AZE,AZN,5.95,1.7025,3.494860499,1.066308244,10883.28639,-37.368,-39.966,-35.173,10.344,-0.137,-23.714,-33.941,-26.996,26.611,2.651
Bahrain,BHR,BHD,1.7,0.37695,4.509881947,0.304659498,35525.42121,-19.178,-22.53,-16.345,42.392,28.866,-9.023,-21.22,-12.938,50.992,22.419
Brazil,BRA,BRL,22.9,4.75705,4.813907779,4.103942652,11294.64759,-13.729,-17.307,-10.706,51.991,37.554,4.935,-9.133,0.42,74.158,41.201
Canada,CAN,CAD,7.05,1.31625,5.356125356,1.26344086,56747.20144,-4.012,-7.993,-0.648,69.111,53.047,1.423,-12.173,-2.941,68.33,36.476
Switzerland,CHE,CHF,6.7,0.86685,7.729134222,1.200716846,73463.78149,38.515,32.77,43.369,144.035,120.854,39.616,20.899,33.609,131.718,87.868
Chile,CHL,CLP,3900,839.505,4.645594725,698.9247312,18858.43795,-16.746,-20.199,-13.828,46.677,32.744,-1.219,-14.461,-5.469,63.945,32.921
China,CHN,CNY,25,7.14355,3.499660533,4.480286738,19268.27546,-37.282,-39.883,-35.084,10.496,0,-25.684,-35.647,-28.882,23.34,0
Colombia,COL,COP,18900,3882.915,4.86747714,3387.096774,8374.258497,-12.769,-16.387,-9.712,53.682,39.084,7.143,-7.22,2.533,77.823,44.173
Costa Rica,CRI,CRC,2950,544.875,5.414085799,528.6738351,16009.43296,-2.973,-6.998,0.427,70.941,54.703,16.196,0.619,11.196,92.848,56.354
Czech Republic,CZE,CZK,105,21.6516,4.849526132,18.8172043,34274.7678,-13.091,-16.696,-10.045,53.116,38.571,-1.794,-14.959,-6.019,62.99,32.147
Denmark,DNK,DKK,38.2,6.7593,5.651472786,6.845878136,69420.51239,1.281,-2.92,4.83,78.436,61.486,3.236,-10.603,-1.206,71.339,38.916
Egypt,EGY,EGP,81,30.925,2.619240097,14.51612903,5187.735093,-53.06,-55.007,-51.415,-17.302,-25.157,-41.721,-49.534,-44.229,-3.276,-21.58
Euro area,EUZ,EUR,5.28,0.90699,5.821453379,0.946236559,41020.85923,4.327,0,7.983,83.803,66.343,15.481,0,10.512,91.662,55.393
